"","X","SNo","Date","StartupName","IndustryVertical","SubVertical","CityLocation","InvestorsName","InvestmentType","AmountInUSD","Remarks","New_Date","dd","mm","yyyy","mmyyyy","New_Date","dd","mm","yyyy","mmyyyy"
"230",352,5006,"16/02/2017","Truebil","Consumer Internet","Online Marketplace for Used Cars","Mumbai","Shunwei Capital","Private Equity",3000000,"","16/02/2017",16,2,2017,"02-2017","16/02/2017","16","02","2017","02-2017"
"231",353,5007,"16/02/2017","YourStory","Consumer Internet","Online Media","Bangalore","Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT","Private Equity",3000000,"","16/02/2017",16,2,2017,"02-2017","16/02/2017","16","02","2017","02-2017"
"232",354,5008,"17/02/2017","Imaginate","Technology","AR & VR platform","Hyderabad","SRI Capital","Seed Funding",500000,"","17/02/2017",17,2,2017,"02-2017","17/02/2017","17","02","2017","02-2017"
"233",355,5009,"17/02/2017","The Ken","Consumer Internet","Online Media Platform","Bangalore","Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others","Seed Funding",400000,"","17/02/2017",17,2,2017,"02-2017","17/02/2017","17","02","2017","02-2017"
"234",356,5010,"17/02/2017","Urban Ladder","ECommerce","Online Furniture Store","Bangalore","Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital","Private Equity",15200000,"","17/02/2017",17,2,2017,"02-2017","17/02/2017","17","02","2017","02-2017"
"235",359,5011,"17/02/2017","Leopetra","eCommerce","Solution provider for pet needs","Mumbai","Facebook FBStart","Seed Funding",40000,"","17/02/2017",17,2,2017,"02-2017","17/02/2017","17","02","2017","02-2017"
"236",360,5012,"18/02/2017","Blood n Care","Consumer Internet","First Aid care app","Gurgaon","Facebook FBStart","Seed Funding",40000,"","18/02/2017",18,2,2017,"02-2017","18/02/2017","18","02","2017","02-2017"
"237",361,5013,"20/02/2017","Flipkart","eCommerce","Online Marketplace","Bangalore","Bennett, Coleman and Co. Ltd (BCCL)","Private Equity",38700000,"","20/02/2017",20,2,2017,"02-2017","20/02/2017","20","02","2017","02-2017"
"238",362,5014,"21/02/2017","True Balance","Consumer Internet","Mobile balance Checking App","Gurgaon","Softbank Ventures Korea, IMM Investment","Private Equity",15000000,"","21/02/2017",21,2,2017,"02-2017","21/02/2017","21","02","2017","02-2017"
"239",363,5015,"22/02/2017","Vebbler","Consumer Internet","Photo Sharing for Groups","Bangalore","Facebook FBStart","Seed Funding",40000,"","22/02/2017",22,2,2017,"02-2017","22/02/2017","22","02","2017","02-2017"
"240",364,5016,"23/02/2017","Get My Parking","Consumer Internet","Smart Parking Platform","New Delhi","Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal","Private Equity",1100000,"","23/02/2017",23,2,2017,"02-2017","23/02/2017","23","02","2017","02-2017"
"241",368,5017,"27/02/2017","Biryani By Kilo","Consumer Internet","Online Food Ordering & Delivery Portal","Gurgaon","Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others","Seed Funding",375000,"","27/02/2017",27,2,2017,"02-2017","27/02/2017","27","02","2017","02-2017"
"242",369,5018,"27/02/2017","Johari Shop","ECommerce","Online Jewellery etailer","Bangalore","Undisclosed Investors","Seed Funding",94000,"","27/02/2017",27,2,2017,"02-2017","27/02/2017","27","02","2017","02-2017"
"243",370,5019,"28/02/2017","NeoStencil","Consumer Internet","Live Online Coaching Classes","New Delhi","Brand Capital, Paragon Trust","Private Equity",1000000,"","28/02/2017",28,2,2017,"02-2017","28/02/2017","28","02","2017","02-2017"
"244",371,5020,"28/02/2017","Blackbuck","Logistics","Online freight aggregator","Bangalore","Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass","Private Equity",70000000,"","28/02/2017",28,2,2017,"02-2017","28/02/2017","28","02","2017","02-2017"
"245",372,5021,"02/01/2017","TaxSutra","Consumer Internet","Online Tax Filing platform","Pune","TV Mohandas Pai, V Balakrishnan, PV Srinivasan","Seed Funding",366000,"","02/01/2017",2,1,2017,"01-2017","02/01/2017","02","01","2017","01-2017"
"246",373,5022,"03/01/2017","TempoGo","Technology","IoT & SAAS Solutions for Transportation Industry","Panaji","K2 Capital","Seed Funding",825000,"","03/01/2017",3,1,2017,"01-2017","03/01/2017","03","01","2017","01-2017"
"247",379,5023,"06/01/2017","Leap India","Logistics","Supply Chain Solutions Provider","Mumbai","India Nivesh Growth Fund, Sixth Sense, TCI Ventures","Private Equity",13000000,"","06/01/2017",6,1,2017,"01-2017","06/01/2017","06","01","2017","01-2017"
"248",380,5024,"07/01/2017","FreeCharge","Consumer Internet","Mobile Wallet","Mumbai","Jasper Infotech Pvt Ltd","Private Equity",57000000,"","07/01/2017",7,1,2017,"01-2017","07/01/2017","07","01","2017","01-2017"
"249",381,5025,"09/01/2017","TicketNew","Consumer Internet","Movie Ticket Booking platform","Chennai","Alibaba Pictures","Private Equity",35000000,"","09/01/2017",9,1,2017,"01-2017","09/01/2017","09","01","2017","01-2017"
"250",382,5026,"10/01/2017","Intelligence Node","Technology","SAAS Based Retail Analytics Solutions","Mumbai","BlackSoil Capital Pvt Ltd","Private Equity",800000,"","10/01/2017",10,1,2017,"01-2017","10/01/2017","10","01","2017","01-2017"
"251",383,5027,"10/01/2017","Securens","Technology","e-surveillance services provider","Mumbai","Mayfield India, Trifecta Capital","Private Equity",5000000,"","10/01/2017",10,1,2017,"01-2017","10/01/2017","10","01","2017","01-2017"
"252",384,5028,"10/01/2017","Loan Frame","Consumer Internet","Small Business Loans Marketplace platform","Gurgaon","Vedanta Capital, William Campbell, Toos N Daruvala","Private Equity",2250000,"","10/01/2017",10,1,2017,"01-2017","10/01/2017","10","01","2017","01-2017"
"253",386,5029,"10/01/2017","Medinfi","Consumer Internet","Doctor & Clinic Discovery portal","Bangalore","Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani","Seed Funding",100000,"","10/01/2017",10,1,2017,"01-2017","10/01/2017","10","01","2017","01-2017"
"254",387,5030,"10/01/2017","LensKart","eCommerce","Online eyewear retailer","Bangalore","Ronnie Screwvala","Private Equity",3500000,"","10/01/2017",10,1,2017,"01-2017","10/01/2017","10","01","2017","01-2017"
"255",389,5031,"12/01/2017","Hansel.io","Consumer Internet","Real-time Mobile App Management Platform","Bangalore","IDG Ventures, Endiya Partners","Private Equity",1350000,"","12/01/2017",12,1,2017,"01-2017","12/01/2017","12","01","2017","01-2017"
"256",390,5032,"12/01/2017","Square Yards","Consumer Internet","Property Search Aggregator platform","Gurgaon","Lohia Group, Andre Hoffman","Private Equity",10000000,"","12/01/2017",12,1,2017,"01-2017","12/01/2017","12","01","2017","01-2017"
"257",391,5033,"13/01/2017","Roambee","Technology","IoT smart Logistics and Asset Management Company","Mumbai","Deutsche Telekom Strategic Investments & Others","Private Equity",4100000,"","13/01/2017",13,1,2017,"01-2017","13/01/2017","13","01","2017","01-2017"
"258",393,5034,"13/01/2017","iService","Consumer Internet","Gadgets Repair & Service Booking platform","Bangalore","Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna","Seed Funding",440000,"","13/01/2017",13,1,2017,"01-2017","13/01/2017","13","01","2017","01-2017"
"259",394,5035,"14/01/2017","Unacademy","Consumer Internet","Online learning platform","Bangalore","Nexus Venture Partners, Blume Ventures","Private Equity",4500000,"","14/01/2017",14,1,2017,"01-2017","14/01/2017","14","01","2017","01-2017"
"260",397,5036,"16/01/2017","ZoloStays","Consumer Internet","Branded PG Accomodation booking platform","Bangalore","Nexus Venture Partners, Innoven Capital","Private Equity",5000000,"","16/01/2017",16,1,2017,"01-2017","16/01/2017","16","01","2017","01-2017"
"261",399,5037,"16/01/2017","HipCouch","Consumer Internet","Custom & Modular Furniture platform","Mumbai","Undisclosed Investors","Seed Funding",700000,"","16/01/2017",16,1,2017,"01-2017","16/01/2017","16","01","2017","01-2017"
"262",400,5038,"17/01/2017","Curiositi","Consumer Internet","Online Learning Platform","Bangalore","Menterra Social Impact Fund, Unitus Seed Fund","Private Equity",800000,"","17/01/2017",17,1,2017,"01-2017","17/01/2017","17","01","2017","01-2017"
"263",401,5039,"17/01/2017","TinyStep","Consumer Internet","Parenting Info & Social Network","Bangalore","Flipkart","Private Equity",2000000,"","17/01/2017",17,1,2017,"01-2017","17/01/2017","17","01","2017","01-2017"
"264",402,5040,"17/01/2017","Practo","Consumer Internet","Online Healthcare platform","Bangalore","Tencent,  ru-Net, RSI Fund, Thrive Capital","Private Equity",55000000,"","17/01/2017",17,1,2017,"01-2017","17/01/2017","17","01","2017","01-2017"
"265",403,5041,"17/01/2017","Ketchupp","Consumer Internet","Food Discovery Platform","New Delhi","India Quotient and others","Seed Funding",441000,"","17/01/2017",17,1,2017,"01-2017","17/01/2017","17","01","2017","01-2017"
"266",404,5042,"17/01/2017","Hoopy","Consumer Internet","Online Car Service Platform","Gwalior","undisclosed investors","Seed Funding",500000,"","17/01/2017",17,1,2017,"01-2017","17/01/2017","17","01","2017","01-2017"
"267",405,5043,"17/01/2017","Ezytruk","Consumer Internet","Logistics and truck aggregator platform","Bangalore","Ajith Nair, Anish K","Seed Funding",147000,"","17/01/2017",17,1,2017,"01-2017","17/01/2017","17","01","2017","01-2017"
"268",408,5044,"18/01/2017","Vahdam Teas","eCommerce","Online Tea etailer","New Delhi","Mumbai Angels Network, Fireside Ventures, Singapore Angel Network","Seed Funding",650000,"","18/01/2017",18,1,2017,"01-2017","18/01/2017","18","01","2017","01-2017"
"269",409,5045,"18/01/2017","Qwikspec","Technology","Cloud-based construction","Bangalore","Undisclosed Investors","Seed Funding",300000,"","18/01/2017",18,1,2017,"01-2017","18/01/2017","18","01","2017","01-2017"
"270",411,5046,"19/01/2017","Weddingz.in","Consumer Internet","Online Marketplace for Wedding Venues and vendors","Mumbai","Singularity Ventures","Private Equity",1000000,"","19/01/2017",19,1,2017,"01-2017","19/01/2017","19","01","2017","01-2017"
"271",418,5047,"22/01/2017","MessaGif","Consumer Internet","social messaging platform","New Delhi","Undisclosed investor","Seed Funding",50000,"","22/01/2017",22,1,2017,"01-2017","22/01/2017","22","01","2017","01-2017"
"272",421,5048,"23/01/2017","CueMath","Technology","Maths Learning program","New Delhi","CapitalG, Sequoia India","Private Equity",15000000,"","23/01/2017",23,1,2017,"01-2017","23/01/2017","23","01","2017","01-2017"
"273",424,5049,"24/01/2017","Khel Now","Consumer Internet","Mobile-based Social Platform for Sports","Bangalore","Indochine International","Private Equity",500000,"","24/01/2017",24,1,2017,"01-2017","24/01/2017","24","01","2017","01-2017"
"274",425,5050,"24/01/2017","NowFloats","Consumer Internet","Platform to take businesses online","Hyderabad","Iron Pillar and IIFL, Blume Ventures, Omidyar Network","Private Equity",10000000,"","24/01/2017",24,1,2017,"01-2017","24/01/2017","24","01","2017","01-2017"
"275",426,5051,"24/01/2017","Lets Transport","Consumer Internet","Online transport vehicle booking platform","Bangalore","GMO Japan, Neelesh Bhatnagar","Private Equity",4000000,"","24/01/2017",24,1,2017,"01-2017","24/01/2017","24","01","2017","01-2017"
"276",429,5052,"25/01/2017","RML Agtech","Technology","Agri Decision Support Solution for farmers","Pune","IvyCap Ventures","Private Equity",4000000,"","25/01/2017",25,1,2017,"01-2017","25/01/2017","25","01","2017","01-2017"
"277",431,5053,"25/01/2017","InstaSafe","Technology","Security-as-a-Service solution provider","Bangalore","ABM Knowledgeware","Private Equity",2200000,"","25/01/2017",25,1,2017,"01-2017","25/01/2017","25","01","2017","01-2017"
"278",432,5054,"25/01/2017","Infibeam","eCommerce","eCommerce Marketplace","Ahmedabad","Bennett, Coleman and Company Ltd","Private Equity",8800000,"","25/01/2017",25,1,2017,"01-2017","25/01/2017","25","01","2017","01-2017"
"279",434,5055,"26/01/2017","AirMed Labs","Consumer Internet","Health Tests Booking platform & ePharmacy","Ahmedabad","Brand Capital","Private Equity",1400000,"","26/01/2017",26,1,2017,"01-2017","26/01/2017","26","01","2017","01-2017"
"280",435,5056,"26/01/2017","99PerHour","Consumer Internet","Hyper-local Handyman Service provider","Chennai","V Aanand R","Seed Funding",300000,"","26/01/2017",26,1,2017,"01-2017","26/01/2017","26","01","2017","01-2017"
"281",437,5057,"30/01/2017","Intuit Things","Technology","IoT solutions for home automation applications","Mumbai","Sanjay Mehta & Others ( The Ten Minute Million)","Seed Funding",106000,"","30/01/2017",30,1,2017,"01-2017","30/01/2017","30","01","2017","01-2017"
"282",438,5058,"30/01/2017","Cloudrino","Technology","Cloud based Virtual Servers","New Delhi","The Ten Minute Million","Seed Funding",22500,"","30/01/2017",30,1,2017,"01-2017","30/01/2017","30","01","2017","01-2017"
"283",439,5059,"30/01/2017","FabX","eCommerce","Used Furniture Marketplace","Mumbai","The Ten Minute Million","Seed Funding",68000,"","30/01/2017",30,1,2017,"01-2017","30/01/2017","30","01","2017","01-2017"
"284",440,5060,"30/01/2017","Maptags","Consumer Internet","Smart Online address tags","Bangalore","The Ten Minute Million","Seed Funding",18000,"","30/01/2017",30,1,2017,"01-2017","30/01/2017","30","01","2017","01-2017"
"285",442,5061,"31/01/2017","Heads Up For Tails","eCommerce","Online Pet Products Store","New Delhi","Undisclosed Investors","Private Equity",2000000,"","31/01/2017",31,1,2017,"01-2017","31/01/2017","31","01","2017","01-2017"
"286",444,5062,"01/12/2016","SidQam","Technology","Healthcare Software System","Noida","SQue Capital, Grace Capital Ventures, Soham Vencaps","Private Equity",1200000,"","01/12/2016",1,12,2016,"12-2016","01/12/2016","01","12","2016","12-2016"
"287",445,5063,"01/12/2016","India Lends","Consumer Internet","Online Instant personal Loan provider","New Delhi","DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners","Private Equity",4000000,"","01/12/2016",1,12,2016,"12-2016","01/12/2016","01","12","2016","12-2016"
"288",446,5064,"01/12/2016","Slide App","Consumer Internet","Lock screen Rewards mobile app","New Delhi","Songhyun Investment","Private Equity",3600000,"","01/12/2016",1,12,2016,"12-2016","01/12/2016","01","12","2016","12-2016"
"289",447,5065,"02/12/2016","Badiyajobs","Consumer Internet","Entry-Level job Seekers platform","New Delhi","Undisclosed","Seed Funding",100000,"","02/12/2016",2,12,2016,"12-2016","02/12/2016","02","12","2016","12-2016"
"290",449,5066,"02/12/2016","TYGR","Technology","Transport and logistics mobile App","Mumbai","Franchise India","Private Equity",3000000,"","02/12/2016",2,12,2016,"12-2016","02/12/2016","02","12","2016","12-2016"
"291",451,5067,"05/12/2016","UrDoorStep","eCommerce","Online Grocery Store","Bangalore","Lakshmi Vilas Bank & undisclosed HNIs","Private Equity",1400000,"","05/12/2016",5,12,2016,"12-2016","05/12/2016","05","12","2016","12-2016"
"292",453,5068,"06/12/2016","Diro Labs","Consumer Internet","Mobile Contacts Management app","New Delhi","Info Edge (India)","Seed Funding",147000,"","06/12/2016",6,12,2016,"12-2016","06/12/2016","06","12","2016","12-2016"
"293",459,5069,"07/12/2016","Revv","Consumer Internet","Self-Driven Car Services booking portal","New Delhi","Edelweiss Private Equity","Private Equity",9000000,"","07/12/2016",7,12,2016,"12-2016","07/12/2016","07","12","2016","12-2016"
"294",460,5070,"07/12/2016","WealthApp","Consumer Internet","Online Investment Advisory platform","Bangalore","Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,  Ramkumar Nishtal, Arjun Sharmaa","Seed Funding",440000,"","07/12/2016",7,12,2016,"12-2016","07/12/2016","07","12","2016","12-2016"
"295",462,5071,"08/12/2016","Zest Money","Consumer Internet","Online Consumer Lending platform","Mumbai","PayU","Private Equity",6500000,"","08/12/2016",8,12,2016,"12-2016","08/12/2016","08","12","2016","12-2016"
"296",463,5072,"08/12/2016","GoMechanic","Consumer Internet","Online Car servicing Booking platform","Gurgaon","Venture Catalysts","Seed Funding",250000,"","08/12/2016",8,12,2016,"12-2016","08/12/2016","08","12","2016","12-2016"
"297",464,5073,"09/12/2016","Stalk Buy Love","eCommerce","Fashion Apparel eTailer","New Delhi","Kalaari Capital","Private Equity",6000000,"","09/12/2016",9,12,2016,"12-2016","09/12/2016","09","12","2016","12-2016"
"298",466,5074,"09/12/2016","Wittyparot","Technology","Content Management & Productivity platform","Bangalore","Mumbai Angels","Seed Funding",450000,"","09/12/2016",9,12,2016,"12-2016","09/12/2016","09","12","2016","12-2016"
"299",467,5075,"09/12/2016","NeuroEquilibrium","Technology","Health-Tech platform","Jaipur","Unicorn India Ventures","Seed Funding",250000,"","09/12/2016",9,12,2016,"12-2016","09/12/2016","09","12","2016","12-2016"
"300",468,5076,"12/12/2016","Xseed Education","Technology","Education & learning Tech platform","Bangalore","Verlinvest SA","Private Equity",10000000,"","12/12/2016",12,12,2016,"12-2016","12/12/2016","12","12","2016","12-2016"
"301",469,5077,"12/12/2016","Rupaiya Exchange","Consumer Internet","P2P Lending platform","New Delhi","Undisclosed Investors","Seed Funding",200000,"","12/12/2016",12,12,2016,"12-2016","12/12/2016","12","12","2016","12-2016"
"302",470,5078,"12/12/2016","Doctor Insta","Consumer Internet","Online Doctor Consulting platform","Gurgaon","RoundGlass Partners","Private Equity",2000000,"","12/12/2016",12,12,2016,"12-2016","12/12/2016","12","12","2016","12-2016"
"303",472,5079,"12/12/2016","Fresh Food Concepts","Food & Beverage","Cold Press Juice manufacturer & seller","New Delhi","Siddhartha Gupta, Ashvin Chadha","Seed Funding",2000000,"","12/12/2016",12,12,2016,"12-2016","12/12/2016","12","12","2016","12-2016"
"304",473,5080,"13/12/2016","Indifi","Consumer Internet","Online lending platform","Gurgaon","Omidyar Network","Private Equity",10000000,"","13/12/2016",13,12,2016,"12-2016","13/12/2016","13","12","2016","12-2016"
"305",475,5081,"13/12/2016","OfBusiness","eCommerce","Online business-to-business (B2B) marketplace","Gurgaon","Zodius Technology Opportunities Fund, Matrix Partners","Private Equity",11100000,"","13/12/2016",13,12,2016,"12-2016","13/12/2016","13","12","2016","12-2016"
"306",477,5082,"14/12/2016","Qacco","Consumer Internet","Hotel Booking platform","Gurgaon","Lead Angels Network, Anbu Pandian, Prabhakar MR & Others","Seed Funding",150000,"","14/12/2016",14,12,2016,"12-2016","14/12/2016","14","12","2016","12-2016"
"307",478,5083,"14/12/2016","Fitpass","Consumer Internet","Fitness center aggregator & Booking mobile app","New Delhi","Mumbai Angels","Seed Funding",1000000,"","14/12/2016",14,12,2016,"12-2016","14/12/2016","14","12","2016","12-2016"
"308",481,5084,"14/12/2016","Trading Bells","Consumer Internet","Online Share & Commodity Broking platform","Indore","Swastika Investmart Ltd","Seed Funding",297000,"","14/12/2016",14,12,2016,"12-2016","14/12/2016","14","12","2016","12-2016"
"309",482,5085,"15/12/2016","SERV’D","Consumer Internet","Financial Services For Unorganized Workforce","Pune","Digital Financial Service Lab","Seed Funding",100000,"","15/12/2016",15,12,2016,"12-2016","15/12/2016","15","12","2016","12-2016"
"310",483,5086,"15/12/2016","IdeaForge","Technology","Drone Manufacturing","Mumbai","WRV Capital and IndusAge Partners, Infosys Innovation Fund","Private Equity",10000000,"","15/12/2016",15,12,2016,"12-2016","15/12/2016","15","12","2016","12-2016"
"311",484,5087,"15/12/2016","Amagi Media Labs","Technology","Media Technology Solutions","Mumbai","Emerald Media, Premji Invest","Private Equity",35000000,"","15/12/2016",15,12,2016,"12-2016","15/12/2016","15","12","2016","12-2016"
"312",485,5088,"15/12/2016","Pocket Aces","Technology","Digital Entertainment Company","Mumbai","Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon","Private Equity",3000000,"","15/12/2016",15,12,2016,"12-2016","15/12/2016","15","12","2016","12-2016"
"313",486,5089,"16/12/2016","Pi Data Centers","Technology","Cloud Data Center Solutions provider","Hyderabad","Epsilon Venture Partners","Private Equity",23000000,"","16/12/2016",16,12,2016,"12-2016","16/12/2016","16","12","2016","12-2016"
"314",487,5090,"16/12/2016","TripShelf","Consumer Internet","Holiday Packages provider","New Delhi","GEMS Advisory, Quarizon","Seed Funding",123000,"","16/12/2016",16,12,2016,"12-2016","16/12/2016","16","12","2016","12-2016"
"315",489,5091,"19/12/2016","NoBroker","Consumer Internet","Rental property search portal","Bangalore","KTB Network, SAIF Partners, BEENEXT, Digital Garage","Private Equity",7400000,"","19/12/2016",19,12,2016,"12-2016","19/12/2016","19","12","2016","12-2016"
"316",490,5092,"20/12/2016","VivoCarat","eCommerce","Online jewellery marketplace","Mumbai","Undisclosed Investors","Seed Funding",50000,"","20/12/2016",20,12,2016,"12-2016","20/12/2016","20","12","2016","12-2016"
"317",493,5093,"20/12/2016","BYJU’s","Consumer Internet","Online Learning platform","Bangalore","International Financial Corporation","Private Equity",15000000,"","20/12/2016",20,12,2016,"12-2016","20/12/2016","20","12","2016","12-2016"
"318",495,5094,"21/12/2016","The BlueBook","Consumer Internet","online to offline marketing platform","Bangalore","Indian Angel Network, Let’s Venture","Seed Funding",500000,"","21/12/2016",21,12,2016,"12-2016","21/12/2016","21","12","2016","12-2016"
"319",497,5095,"21/12/2016","Vegetall","eCommerce","Online Vegetable eTailer","Chennai","The Chennai Angels","Seed Funding",162000,"","21/12/2016",21,12,2016,"12-2016","21/12/2016","21","12","2016","12-2016"
"320",499,5096,"22/12/2016","Mindler","Consumer Internet","Career Planning & Assessment platform","New Delhi","Taxmann","Seed Funding",324000,"","22/12/2016",22,12,2016,"12-2016","22/12/2016","22","12","2016","12-2016"
"321",500,5097,"22/12/2016","MCaffeine","eCommerce","Personal care product etailer","Bangalore","Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini","Seed Funding",300000,"","22/12/2016",22,12,2016,"12-2016","22/12/2016","22","12","2016","12-2016"
"322",501,5098,"23/12/2016","enKast","Technology","Cloud based CRM for Agencies","Bangalore","Ivy League Alumni Angel Network","Private Equity",2000000,"","23/12/2016",23,12,2016,"12-2016","23/12/2016","23","12","2016","12-2016"
"323",508,5099,"26/12/2016","Dekkho","Consumer Internet","Video Streaming platform","Mumbai","undisclosed investors","Seed Funding",1200000,"","26/12/2016",26,12,2016,"12-2016","26/12/2016","26","12","2016","12-2016"
"324",509,5100,"26/12/2016","Shadowfox","Logistics","On-Demand Delivery Service","Gurgaon","Eight Roads Ventures","Private Equity",10000000,"","26/12/2016",26,12,2016,"12-2016","26/12/2016","26","12","2016","12-2016"
"325",510,5101,"27/12/2016","ShopX","eCommerce","SAAS ECommerce Retail app","Bangalore","Nandan Nilekani","Private Equity",5000000,"","27/12/2016",27,12,2016,"12-2016","27/12/2016","27","12","2016","12-2016"
"326",512,5102,"29/12/2016","Healthifyme","Consumer Internet","Fitness Mobile App","Bangalore","NB Ventures","Private Equity",1000000,"","29/12/2016",29,12,2016,"12-2016","29/12/2016","29","12","2016","12-2016"
"327",516,5103,"01/11/2016","PickMyLaundry","Consumer Internet","On-Demand Washing & Dry Cleaning Services","New Delhi","Kedar Lele, GHV Accelerator","Seed Funding",200000,"","01/11/2016",1,11,2016,"11-2016","01/11/2016","01","11","2016","11-2016"
"328",517,5104,"02/11/2016","FreshDesk","Consumer Internet","SAAS Based HelpDesk Services","Chennai","Sequoia Capital India, Accel Partners","Private Equity",55000000,"","02/11/2016",2,11,2016,"11-2016","02/11/2016","02","11","2016","11-2016"
"329",518,5105,"02/11/2016","LaundryAnna","Consumer Internet","On-Demand Washing & Dry Cleaning Services","Bangalore","Undisclosed Investors","Seed Funding",150000,"","02/11/2016",2,11,2016,"11-2016","02/11/2016","02","11","2016","11-2016"
"330",521,5106,"03/11/2016","Zarget","Technology","SaaS-based web optimisation and marketing platform","Chennai","Sequoia India","Private Equity",6000000,"","03/11/2016",3,11,2016,"11-2016","03/11/2016","03","11","2016","11-2016"
"331",523,5107,"03/11/2016","EasyPolicy","Consumer Internet","Online insurance Portal","Noida","Unilazer Ventures,","Private Equity",10000000,"","03/11/2016",3,11,2016,"11-2016","03/11/2016","03","11","2016","11-2016"
"332",525,5108,"04/11/2016","Connect India","Logistics","Last mile Delivery Network","Bangalore","Aavishkaar Venture Management","Private Equity",1000000,"","04/11/2016",4,11,2016,"11-2016","04/11/2016","04","11","2016","11-2016"
"333",526,5109,"04/11/2016","Corseco","Technology","AI-based Software as a Service Solution provider","New Delhi","Ameera Shah, Vivek Bhargava","Seed Funding",150000,"","04/11/2016",4,11,2016,"11-2016","04/11/2016","04","11","2016","11-2016"
"334",529,5110,"05/11/2016","Medzin","eCommerce","Online ordering & Delivery of medicines","New Delhi","A M Sikander","Seed Funding",45000,"","05/11/2016",5,11,2016,"11-2016","05/11/2016","05","11","2016","11-2016"
"335",530,5111,"05/11/2016","Bizongo","eCommerce","Packaging Material Marketplace","Mumbai","IDG Ventures, Accel Partners","Private Equity",3000000,"","05/11/2016",5,11,2016,"11-2016","05/11/2016","05","11","2016","11-2016"
"336",531,5112,"07/11/2016","Rivigo","Technology","Technology based Logistics platform","Gurgaon","Warburg Pincus","Private Equity",75000000,"","07/11/2016",7,11,2016,"11-2016","07/11/2016","07","11","2016","11-2016"
"337",532,5113,"07/11/2016","JustRide","Consumer Internet","Online Car Sharing platform","Mumbai","Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings","Private Equity",3000000,"","07/11/2016",7,11,2016,"11-2016","07/11/2016","07","11","2016","11-2016"
"338",533,5114,"09/11/2016","IIM Jobs","Consumer Internet","Online Job Portal","New Delhi","India Quotient","Private Equity",2000000,"","09/11/2016",9,11,2016,"11-2016","09/11/2016","09","11","2016","11-2016"
"339",534,5115,"09/11/2016","Square Yards","Consumer Internet","Online Property Search Portal","Gurgaon","ADAG Reliance Private Equity","Private Equity",12000000,"","09/11/2016",9,11,2016,"11-2016","09/11/2016","09","11","2016","11-2016"
"340",535,5116,"10/11/2016","GolfLAN","Consumer Internet","Golf Session Online Bookings platform","New Delhi","YourNest Angel Fund, iSON","Private Equity",1000000,"","10/11/2016",10,11,2016,"11-2016","10/11/2016","10","11","2016","11-2016"
"341",539,5117,"14/11/2016","Active.ai","Technology","Banking & Fintech Platform","Singapore","Kalaari Capital, IDG Ventures India","Private Equity",3000000,"","14/11/2016",14,11,2016,"11-2016","14/11/2016","14","11","2016","11-2016"
"342",540,5118,"14/11/2016","ElasticRun","Technology","Tech driven Logistic & distribution platform","Pune","Kalaari Capital, Norwest Venture Partners","Private Equity",2000000,"","14/11/2016",14,11,2016,"11-2016","14/11/2016","14","11","2016","11-2016"
"343",542,5119,"15/11/2016","Zefo","eCommerce","Used Furniture & Appliances Marketplace","Bangalore","Sequoia India, BEENEXT, Helion Ventures","Private Equity",6000000,"","15/11/2016",15,11,2016,"11-2016","15/11/2016","15","11","2016","11-2016"
"344",543,5120,"15/11/2016","PlaySimple","Technology","Mobile Gaming portal","Bangalore","SAIF Partners, IDG Ventures India","Private Equity",4000000,"","15/11/2016",15,11,2016,"11-2016","15/11/2016","15","11","2016","11-2016"
"345",544,5121,"16/11/2016","Stasis Labs","Technology","Cloud based  health monitoring platform","Bangalore","RTP-HC, Wonder Ventures, Techstars Ventures & Others","Private Equity",5000000,"","16/11/2016",16,11,2016,"11-2016","16/11/2016","16","11","2016","11-2016"
"346",546,5122,"17/11/2016","Koovs","eCommerce","Fashion eTailer","New Delhi","Times of India Group & Existing investors","Private Equity",13500000,"","17/11/2016",17,11,2016,"11-2016","17/11/2016","17","11","2016","11-2016"
"347",549,5123,"17/11/2016","Pictor Imaging","Consumer Internet","Product Photography Mobile App","Mumbai","Quarizon","Seed Funding",147000,"","17/11/2016",17,11,2016,"11-2016","17/11/2016","17","11","2016","11-2016"
